replay_id,turn,rating,p1_total_hp,p2_total_hp,hp_difference,p1_fainted,p2_fainted,fainted_difference,has_weather,has_terrain,has_trick_room,p1_active_count,p2_active_count,p1_win
gen9vgc2025regj-2483610072,1,1593,2.0,2.93,-0.4650000000000001,0,0,0,1,0,1,2,2,0
gen9vgc2025regj-2483610072,3,1593,3.59,3.04,0.2749999999999999,0,0,0,1,0,1,2,2,0
gen9vgc2025regj-2483610072,5,1593,3.05,2.02,0.5149999999999999,0,2,2,0,0,0,2,2,0
gen9vgc2025regj-2483610072,7,1593,2.42,2.02,0.19999999999999996,2,3,1,0,1,0,2,2,0
gen9vgc2025regj-2483680144,1,1079,1.19,2.23,-0.52,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483679657,1,1337,2.32,2.21,0.05499999999999994,0,0,0,0,0,1,2,2,0
gen9vgc2025regj-2483679657,3,1337,2.44,3.05,-0.30499999999999994,1,0,-1,1,0,1,2,2,0
gen9vgc2025regj-2483678864,1,1105,2.0,2.0,0.0,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483678864,3,1105,3.0,1.9100000000000001,0.5449999999999999,2,1,-1,1,1,0,2,2,0
gen9vgc2025regj-2483676975,1,1301,2.0,2.42,-0.20999999999999996,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483676975,3,1301,1.72,1.9,-0.08999999999999997,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483676975,5,1301,2.0,1.52,0.24,1,0,-1,0,0,0,2,2,0
gen9vgc2025regj-2483676975,7,1301,1.8599999999999999,2.01,-0.07499999999999996,1,1,0,1,0,0,2,2,0
gen9vgc2025regj-2483676975,9,1301,1.69,3.0,-0.655,1,2,1,1,1,0,2,2,0
gen9vgc2025regj-2483676975,11,1301,1.41,2.59,-0.59,2,2,0,1,1,0,2,2,0
gen9vgc2025regj-2483676975,13,1301,0.87,1.0,-0.065,2,4,2,1,1,0,2,0,1
gen9vgc2025regj-2483678296,1,1073,1.94,1.62,0.15999999999999992,0,0,0,1,0,1,2,2,0
gen9vgc2025regj-2483678296,3,1073,3.0,2.0700000000000003,0.46499999999999986,2,2,0,1,0,1,2,2,0
gen9vgc2025regj-2483679609,1,1086,2.0,1.5699999999999998,0.21500000000000008,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483679609,3,1086,1.6800000000000002,1.09,0.29500000000000004,0,1,1,0,0,0,2,2,0
gen9vgc2025regj-2483679609,5,1086,1.45,1.8900000000000001,-0.22000000000000008,2,3,1,1,0,0,2,1,0
gen9vgc2025regj-2483679609,7,1086,0.9,1.0,-0.04999999999999999,2,4,2,1,0,0,2,1,1
gen9vgc2025regj-2483677470,1,1118,2.4699999999999998,1.13,0.6699999999999999,0,1,1,1,0,0,2,2,0
gen9vgc2025regj-2483677470,3,1118,3.0,1.0,1.0,2,3,1,1,1,0,2,1,0
gen9vgc2025regj-2483677470,5,1118,2.7,0.0,1.35,2,4,2,1,1,0,2,0,1
